00:22:72|american micro-fuel device corp.
00:30:7f|irlan ltd.
00:d0:15|univex microtechnology corp.
00:d0:48|ecton, inc.
00:d0:a5|american arium
00:30:5d|digitra systems, inc.
00:30:36|rmp elektroniksysteme gmbh
00:d0:cf|moreton bay
00:d0:7f|strategy & technology, limited
00:30:e6|draeger medical systems, inc.
00:30:bd|belkin components
00:30:07|opti, inc.
00:d0:c2|balthazar technology ab
00:d0:22|incredible technologies, inc.
00:d0:71|echelon corp.
00:d0:4f|bitronics, inc.
00:d0:69|technologic systems
00:d0:90|cisco systems, inc
00:d0:f5|orange micro, inc.
00:d0:e9|advantage century telecommunication corp.
00:d0:94|seeion control llc
00:d0:fb|tek microsystems, incorporated
00:d0:66|wintriss engineering corp.
00:d0:82|iowave inc.
00:d0:81|rtd embedded technologies, inc.
00:d0:02|ditech corporation
00:d0:85|otis elevator company
00:d0:11|prism video, inc.
00:d0:df|kuzumi electronics, inc.
00:d0:9b|spectel ltd.
00:d0:67|campio communications
00:d0:58|cisco systems, inc
00:d0:32|yano electric co., ltd.
00:d0:f1|sega enterprises, ltd.
00:d0:3a|zoneworx, inc.
00:d0:01|vst technologies, inc.
00:50:3e|cisco systems, inc
00:50:20|mediastar co., ltd.
00:d0:75|alaris medical systems, inc.
00:d0:e1|avionitek israel inc.
00:d0:08|mactell corporation
00:d0:d9|dedicated microcomputers
00:d0:0b|rhk technology, inc.
00:d0:9c|kapadia communications
00:d0:f3|solari di udine spa
00:d0:39|utilicom, inc.
00:d0:a0|mips denmark
00:d0:0a|lanaccess telecom s.a.
00:d0:1c|sbs technologies,
00:d0:d5|grundig ag
00:d0:41|amigo technology co., ltd.
00:d0:9d|veris industries
00:d0:6d|acrison, inc.
00:d0:2b|jetcell, inc.
00:d0:62|digigram
00:d0:8d|phoenix group, inc.
00:d0:3d|galileo technology, ltd.
00:50:c6|loop telecommunication international, inc.
00:50:9f|horizon computer
00:50:a5|capitol business systems, ltd.
00:50:00|nexo communications, inc.
00:50:90|dctri
00:50:3b|mediafire corporation
00:50:46|menicx international co., ltd.
00:50:41|coretronic corporation
00:50:b0|technology atlanta corporation
00:50:dd|serra soldadura, s.a.
00:50:63|oy comsel system ab
00:50:8d|abit computer corporation
00:50:a0|delta computer systems, inc.
00:50:66|atecom gmbh advanced telecomunication modules
00:50:59|ibahn
00:50:d9|engetron-engenharia eletronica ind. e com. ltda
00:50:01|yamashita systems corp.
00:50:67|aerocomm, inc.
00:50:b6|good way ind. co., ltd.
00:50:4b|barconet n.v.
00:50:ea|xel communications, inc.
00:50:c8|addonics technologies, inc.
00:50:89|safety management systems
00:50:f4|sigmatek gmbh & co. kg
00:50:21|eis international, inc.
00:50:5e|digitek micrologic s.a.
00:50:ae|fdk co., ltd
00:50:e7|paradise innovations (asia)
00:50:fb|vsk electronics
00:90:73|gaio technology
00:90:7b|e-tech, inc.
00:90:81|aloha networks, inc.
00:90:1c|mps software gmbh
00:50:86|telkom sa, ltd.
00:50:1a|iqinvision
00:50:8f|asita technologies int'l ltd.
00:50:15|bright star engineering
00:50:57|broadband access systems
00:50:88|amano corporation
00:50:31|aeroflex laboratories, inc.
00:90:db|next level communications
00:90:56|telestream, inc.
00:90:68|dvt corp.
00:90:5e|rauland-borg corporation
00:90:af|j. morita mfg. corp.
00:50:03|xrite inc
00:50:d3|digital audio processing pty. ltd.
00:50:ad|communique wireless corp.
00:50:af|intergon, inc.
00:90:34|imagic, inc.
00:90:aa|indigo active vision systems limited
00:90:5b|raymond and lae engineering
00:90:bc|telemann co., ltd.
00:90:0a|proton electronic industrial co., ltd.
00:90:f8|mediatrix telecom
00:90:10|simulation laboratories, inc.
00:90:c6|optim systems, inc.
00:90:2e|namco limited
00:90:37|acucomm, inc.
00:90:78|mer telemanagement solutions, ltd.
00:90:b8|rohde & schwarz gmbh & co. kg
00:90:1a|unisphere solutions
00:90:b5|nikon corporation
00:90:05|protech systems co., ltd.
00:90:59|telecom device k.k.
00:90:ca|accord video telecommunications, ltd.
00:90:e9|janz computer ag
00:90:eb|sentry telecom systems
00:90:fe|elecom co., ltd.  (laneed div.)
00:90:bb|tainet communication system corp.
00:90:90|i-bus
00:90:d5|euphonix, inc.
00:90:4a|concur system technologies
00:90:8f|audio codes ltd.
00:90:9e|critical io, llc
00:10:92|netcore inc.
00:10:1c|ohm technologies intl, llc
00:10:46|alcorn mcbride inc.
00:10:28|computer technica, inc.
00:10:b7|coyote technologies, llc
00:90:e5|teknema, inc.
00:90:f4|lightning instrumentation
00:90:74|argon networks, inc.
00:90:9f|digi-data corporation
00:90:3b|triems research lab, inc.
00:10:c9|mitsubishi electronics logistic support co.
00:04:00|lexmark international, inc.
00:10:c5|protocol technologies, inc.
00:10:1a|picturetel corp.
00:10:47|echo eletric co. ltd.
00:10:a5|oxford instruments
00:10:d7|argosy research inc.
00:10:2c|lasat networks a/s
00:10:fd|cocom a/s
00:90:19|hermes electronics co., ltd.
00:90:d8|whitecross systems
00:10:4e|ceologic
00:10:c2|willnet, inc.
00:10:40|intermec corporation
00:10:2e|network systems & technologies pvt. ltd.
00:10:b0|meridian technology corp.
00:10:21|encanto networks, inc.
00:10:64|dnpg, llc
00:10:74|aten international co., ltd.
00:10:9e|aware, inc.
00:10:05|uec commercial
00:10:b8|ishigaki computer system co.
00:10:8b|laseranimation sollinger gmbh
00:10:c7|data transmission network
00:10:70|caradon trend ltd.
00:10:ba|martinho-davis systems, inc.
00:10:b4|atmosphere networks
00:04:ac|ibm corp
00:10:67|ericsson
00:e0:7d|netronix, inc.
00:e0:28|aptix corporation
00:e0:8c|neoparadigm labs, inc.
00:e0:a1|hima paul hildebrandt gmbh co. kg
00:e0:88|ltx-credence corporation
00:e0:5d|unitec co., ltd.
00:e0:5e|japan aviation electronics industry, ltd.
00:e0:9d|sarnoff corporation
00:e0:58|phase one denmark a/s
00:e0:76|development concepts, inc.
00:e0:f8|dicna control ab
00:e0:f2|arlotto comnet, inc.
00:e0:e1|g2 networks, inc.
00:e0:3d|focon electronic systems a/s
00:e0:46|bently nevada corp.
00:e0:7b|bay networks
00:e0:1d|webtv networks, inc.
00:e0:cd|saab sensis corporation
00:e0:8d|pressure systems, inc.
00:e0:19|ing. giordano elettronica
00:e0:47|infocus corporation
00:e0:c3|sakai system development corp.
00:e0:92|admtek incorporated
00:e0:ff|security dynamics technologies, inc.
00:e0:ab|dimat s.a.
00:e0:30|melita international corp.
00:e0:33|e.e.p.d. gmbh
00:e0:a2|microslate inc.
00:e0:79|a.t.n.r.
00:e0:75|verilink corporation
00:60:39|sancom technology, inc.
00:60:49|vina technologies
00:60:8d|unipulse corp.
00:e0:2e|spc electronics corporation
00:e0:9a|positron inc.
00:e0:3e|alfatech, inc.
00:60:99|sbe, inc.
00:60:b3|z-com, inc.
00:60:02|screen subtitling systems, ltd
00:60:89|xata
00:60:21|dsc corporation
00:60:b8|corelis inc.
00:e0:aa|electrosonic ltd.
00:e0:10|hess sb-automatenbau gmbh
00:e0:d2|versanet communications, inc.
00:60:ce|acclaim communications
00:60:36|ait austrian institute of technology gmbh
00:60:8e|he electronics, technologie & systemtechnik gmbh
00:60:1a|keithley instruments
00:60:6a|mitsubishi wireless communications. inc.
00:60:ad|megachips corporation
00:60:55|cornell university
00:60:6d|digital equipment corp.
00:60:b9|nec platforms, ltd
00:60:9c|perkin-elmer incorporated
00:60:cf|alteon networks, inc.
00:60:75|pentek, inc.
00:60:b7|channelmatic, inc.
00:60:06|sotec co., ltd
00:60:ba|sahara networks, inc.
00:60:98|ht communications
00:60:de|kayser-threde gmbh
00:60:d0|snmp research incorporated
00:60:15|net2net corporation
00:60:9d|pmi food equipment group
00:60:a2|nihon unisys limited co.
00:60:84|digital video
00:60:2d|alerton technologies, inc.
00:60:f8|loran international technologies inc.
00:60:78|power measurement ltd.
00:60:e8|hitachi computer products (america), inc.
00:60:f6|nextest communications products, inc.
00:60:72|vxl instruments, limited
00:60:51|quality semiconductor
00:60:92|micro/sys, inc.
00:60:9e|asc x3 - information technology standards secretariats
00:60:10|network machines, inc.
00:60:44|litton/poly-scientific
00:60:04|computadores modulares sa
00:60:e2|quest engineering & development
00:60:b4|glenayre r&d inc.
00:a0:1d|red lion controls, lp
00:a0:a6|m.i. systems, k.k.
00:a0:51|angia communications. inc.
00:a0:13|teltrend ltd.
00:a0:b9|eagle technology, inc.
00:a0:19|nebula consultants, inc.
00:a0:ed|brooks automation, inc.
00:60:ca|harmonic systems incorporated
00:60:24|gradient technologies, inc.
00:60:af|pacific micro data, inc.
00:60:38|nortel networks
00:60:4f|tattile srl 
00:a0:d0|ten x technology, inc.
00:a0:bc|viasat, incorporated
00:a0:5b|marquip, inc.
00:a0:8c|multimedia lans, inc.
00:a0:58|glory, ltd.
00:a0:77|fujitsu nexion, inc.
00:a0:a0|compact data, ltd.
00:a0:38|email electronics
00:a0:65|symantec corporation
00:a0:a3|reliable power meters
00:a0:55|data device corporation
00:a0:74|perception technology
00:a0:7f|gsm-syntel, ltd.
00:a0:29|coulter corporation
00:a0:87|microsemi corporation
00:a0:43|american technology labs, inc.
00:a0:42|spur products corp.
00:a0:c1|ortivus medical ab
00:a0:4f|ameritec corp.
00:a0:cf|sotas, inc.
00:a0:72|ovation systems ltd.
00:a0:82|nkt elektronik a/s
00:a0:f0|toronto microelectronics inc.
00:a0:d7|kasten chase applied research
00:a0:f1|mti
00:a0:b3|zykronix
00:a0:ff|tellabs operations, inc.
00:a0:e5|nhc communications
00:a0:36|applied network technology
00:a0:d2|allied telesis international corporation
00:a0:9b|qpsx communications, ltd.
00:a0:00|centillion networks, inc.
00:a0:8a|brooktrout technology, inc.
00:a0:7b|dawn computer incorporation
00:a0:5c|inventory conversion, inc./
00:20:0f|ebrains inc
00:a0:d3|instem computer systems, ltd.
00:a0:b4|texas microsystems, inc.
00:a0:60|acer peripherals, inc.
00:a0:83|asimmphony turkey
00:a0:aa|spacelabs medical
00:a0:3b|toshin electric co., ltd.
00:a0:f3|staubli
00:20:df|kyosan electric mfg. co., ltd.
00:20:c7|akai professional m.i. corp.
00:a0:04|netpower, inc.
00:20:29|teleprocessing products, inc.
00:20:69|isdn systems corporation
00:20:8b|lapis technologies, inc.
00:20:2b|advanced telecommunications modules, ltd.
00:20:6b|konica minolta holdings, inc.
00:20:04|yamatake-honeywell co., ltd.
00:20:15|actis computer sa
00:20:99|bon electric co., ltd.
00:20:f9|paralink networks, inc.
00:20:92|chess engineering b.v.
00:20:43|neuron company limited
00:20:71|ibr gmbh
00:20:7c|autec gmbh
00:20:57|titze datentechnik gmbh
00:20:e5|apex data, inc.
00:20:87|memotec, inc.
00:20:bc|long reach networks pty ltd
00:c0:c0|shore microsystems, inc.
00:c0:0c|relia technolgies
00:c0:73|xedia corporation
00:c0:d4|axon networks, inc.
00:c0:cd|comelta, s.a.
00:20:ed|giga-byte technology co., ltd.
00:20:85|eaton corporation
00:20:cd|hybrid networks, inc.
00:20:2e|daystar digital
00:20:b3|tattile srl 
00:20:ee|gtech corporation
00:20:4c|mitron computer pte ltd.
00:20:17|orbotech
00:20:93|landings technology corp.
00:20:63|wipro infotech ltd.
00:20:16|showa electric wire & cable co
00:20:4d|inovis gmbh
00:20:5f|gammadata computer gmbh
00:20:1f|best power technology, inc.
00:20:b6|agile networks, inc.
00:20:d1|microcomputer systems (m) sdn.
00:20:ce|logical design group, inc.
00:20:14|global view co., ltd.
00:20:c2|texas memory systems, inc.
00:c0:f3|network communications corp.
00:20:56|neoproducts
00:20:42|datametrics corp.
00:20:78|runtop, inc.
00:20:06|garrett communications, inc.
00:20:24|pacific communication sciences
00:20:5d|nanomatic oy
00:c0:05|livingston enterprises, inc.
00:c0:77|daewoo telecom ltd.
00:c0:c8|micro byte pty. ltd.
00:c0:69|axxcelera broadband wireless
00:c0:67|united barcode industries
00:c0:a3|dual enterprises corporation
00:c0:18|lanart corporation
00:9d:8e|cardiac recorders, inc.
00:bb:01|octothorpe corp.
00:c0:33|telebit communications aps
00:c0:90|praim s.r.l.
00:c0:de|zcomm, inc.
00:c0:13|netrix
00:c0:6b|osi plus corporation
00:c0:4c|department of foreign affairs
00:c0:7c|hightech information
00:c0:b8|fraser's hill ltd.
00:c0:62|impulse technology
00:c0:ec|dauphin technology
00:c0:86|the lynk corporation
00:c0:58|dataexpert corp.
00:c0:d0|ratoc system inc.
00:c0:bf|technology concepts, ltd.
00:c0:ba|netvantage
00:c0:5e|vari-lite, inc.
00:c0:d5|werbeagentur jürgen siebert
00:c0:63|morning star technologies, inc
00:c0:21|netexpress
00:c0:db|ipc corporation (pte) ltd.
00:c0:e3|ositech communications, inc.
00:c0:fe|aptec computer systems, inc.
00:c0:16|electronic theatre controls
00:c0:bc|telecom australia/cssc
00:c0:c1|quad/graphics, inc.
00:c0:89|telindus distribution
00:c0:b0|gcc technologies,inc.
00:c0:0a|micro craft
00:c0:74|toyoda automatic loom
00:40:4e|fluent, inc.
00:40:8d|the goodyear tire & rubber co.
00:40:1b|printer systems corp.
00:40:a3|microunity systems engineering
00:40:b3|partech inc.
00:40:1d|invisible software, inc.
00:c0:ca|alfa, inc.
00:c0:6c|svec computer corp.
00:40:ff|telebit corporation
00:40:1f|colorgraph ltd
00:40:af|digital products, inc.
00:40:f7|polaroid corporation
00:40:37|sea-ilan, inc.
00:c0:26|lans technology co., ltd.
00:40:7e|evergreen systems, inc.
00:40:f9|combinet
00:c0:a7|seel ltd.
00:c0:4a|group 2000 ag
00:40:54|connection machines services
00:40:04|icm co. ltd.
00:40:18|adobe systems, inc.
00:40:4a|west australian department
00:40:3c|forks, inc.
00:40:42|n.a.t. gmbh
00:40:f2|janich & klass computertechnik
00:40:a2|kingstar technology inc.
00:40:dc|tritec electronic gmbh
00:40:60|comendec ltd
00:40:56|mcm japan ltd.
00:40:30|gk computer
00:40:40|ring access, inc.
00:80:57|adsoft, ltd.
00:80:bb|hughes lan systems
00:40:3d|teradata corporation
00:40:d0|mitac international corp.
00:40:b6|computerm  corporation
00:40:a6|cray, inc.
00:40:3e|raster ops corporation
00:40:46|udc research limited
00:c0:d7|taiwan trading center dba
00:40:da|telspec ltd
00:40:c7|ruby tech corporation
00:40:52|star technologies, inc.
00:40:2e|precision software, inc.
00:40:2b|trigem computer, inc.
00:40:1a|fuji electric co., ltd.
00:40:5f|afe computers ltd.
00:40:80|athenix corporation
00:40:51|garbee and garbee
00:40:7a|societe d'exploitation du cnit
00:40:31|kokusai electric co., ltd
00:40:d3|kimpsion international corp.
00:40:ee|optimem
00:40:25|molecular dynamics
00:40:67|omnibyte corporation
00:40:c3|fischer and porter co.
00:40:ec|mikasa system engineering
00:80:2f|national instruments corp.
00:80:54|frontier technologies corp.
00:80:53|intellicom, inc.
00:80:26|network products corporation
00:80:b0|advanced information
00:80:fa|rwt gmbh
00:80:fd|exsceed corpration
00:80:fe|azure technologies, inc.
00:80:3c|tvs electronics ltd
00:80:46|tattile srl 
00:40:02|perle systems limited
00:40:49|roche diagnostics international ltd.
00:40:29|compex
00:40:9e|concurrent technologies  ltd.
00:80:ad|cnet technology, inc.
00:80:0e|atlantix corporation
00:80:ab|dukane network integration
00:80:f1|opus systems
00:80:29|eagle technology, inc.
00:80:72|microplex systems ltd.
00:40:01|zero one technology co. ltd.
00:40:71|atm computer gmbh
00:80:11|digital systems int'l. inc.
00:80:34|smt goupil
00:80:e4|northwest digital systems, inc
00:80:ec|supercomputing solutions, inc.
00:80:2c|the sage group plc
00:80:d6|nuvotech, inc.
00:80:0a|japan computer corp.
00:80:4b|eagle technologies pty.ltd.
00:80:c8|d-link systems, inc.
00:80:12|integrated measurement systems
00:80:27|adaptive systems, inc.
00:80:fc|avatar corporation
00:80:16|wandel and goltermann
00:80:a2|creative electronic systems
00:80:cc|microwave bypass systems
00:80:a5|speed international
00:80:79|microbus designs ltd.
00:00:79|networth incorporated
00:00:91|anritsu corporation
00:00:75|nortel networks
00:00:a5|tattile srl 
00:00:36|atari corporation
00:00:f8|digital equipment corporation
00:80:5c|agilis corporation
00:80:c5|novellco de mexico
00:80:78|practical peripherals, inc.
00:80:f6|synergy microsystems
00:80:7b|artel communications corp.
00:80:14|esprit systems
00:80:b7|stellar computer
00:00:ed|april
00:00:a3|network application technology
00:00:39|toshiba corporation
00:00:3c|auspex systems inc.
00:00:7e|clustrix corporation
00:00:cb|compu-shack electronic gmbh
00:00:13|camex
00:00:95|sony tektronix corp.
00:00:57|scitex corporation ltd.
00:00:d6|punch line holding
00:00:9e|marli s.a.
00:00:42|metier management systems ltd.
00:00:7d|oracle corporation
00:00:96|marconi electronics ltd.
00:00:5e|icann, iana department
00:00:38|css labs
00:00:44|castelle corporation
00:00:ce|megadata corp.
00:00:7b|research machines
00:00:0f|next, inc.
00:00:bb|tri-data
00:00:1a|advanced micro devices
00:00:7f|linotype-hell ag
08:00:6f|philips apeldoorn b.v.
00:00:40|applicon, inc.
00:00:5d|cs telecom
00:00:12|information technology limited
00:00:8a|datahouse information systems
00:00:32|marconi plc
00:00:85|canon inc.
00:00:4a|adc codenoll technology corp.
08:00:8f|chipcom corporation
00:00:6a|computer consoles inc.
08:00:3e|codex corporation
08:00:40|ferranti computer sys. limited
08:00:3a|orcatech inc.
08:00:3d|cadnetix corporations
08:00:38|bull s.a.s.
08:00:73|tecmar inc.
08:00:72|xerox corp univ grant program
08:00:6a|at&t
08:00:7a|indata
08:00:79|the droid works
08:00:4d|corvus systems inc.
08:00:2f|prime computer inc.
08:00:2c|britton lee inc.
08:00:62|general dynamics
08:00:5c|four phase systems
08:00:5a|ibm corp
08:00:52|insystec
08:00:1e|apollo computer inc.
08:00:19|general electric corporation
02:70:01|racal-datacom
08:00:0e|ncr corporation
00:dd:09|ungermann-bass inc.
00:00:02|xerox corporation
00:00:03|xerox corporation
00:00:06|xerox corporation
08:00:01|computervision corporation
08:00:05|symbolics inc.
00:dd:07|ungermann-bass inc.
00:00:08|xerox corporation
00:00:3d|unisys
00:dd:0d|ungermann-bass inc.
08:00:64|sitasys ag
08:00:02|bridge communications inc.
08:00:1a|tiara/ 10net
08:00:8b|pyramid technology corp.
08:00:12|bell atlantic integrated syst.
14:a1:bf|assa abloy korea co., ltd unilock
94:83:c4|gl technologies (hong kong) limited
08:00:30|royal melbourne inst of tech
00:00:0b|matrix corporation
00:00:9b|information international, inc
9c:93:b0|megatronix (beijing) technology co., ltd.
64:ae:f1|qingdao hisense electronics co.,ltd.
08:00:16|barrister info sys corp
44:cb:8b|lg innotek
b4:05:5d|inspur electronic information industry co.,ltd.
98:48:27|tp-link technologies co.,ltd.
d4:f5:ef|hewlett packard enterprise
28:bd:89|google, inc.
ec:1b:bd|silicon laboratories
d8:a3:15|vivo mobile communication co., ltd.
80:64:7a|ola sense inc
70:f8:2b|dwnet technologies(suzhou) corporation
14:24:75|4dreplay, inc
10:dc:b6|ieee registration authority
f8:9e:28|cisco meraki
f8:c4:f3|shanghai infinity wireless technologies co.,ltd.
d4:77:2b|nanjing ztlink network technology co.,ltd
64:f9:c0|analog devices
18:d0:c5|guangdong oppo mobile telecommunications corp.,ltd
34:ed:1b|cisco systems, inc
bc:a5:11|netgear
00:0a:7b|cornelius consult
c4:44:7d|huawei technologies co.,ltd
30:e9:8e|huawei technologies co.,ltd
74:8b:34|shanghai smart system technology co., ltd
ac:bd:70|huawei device co., ltd.
34:d2:62|sz dji technology co.,ltd
08:12:a5|amazon technologies inc.
80:7f:f8|juniper networks
44:03:77|ieee registration authority
00:24:87|transact campus, inc.
b4:e9:a3|port industrial automation gmbh
38:e8:ee|nanjing youkuo electric technology co., ltd
90:b8:e0|shenzhen yanray technology co.,ltd
9c:f5:31|guangdong oppo mobile telecommunications corp.,ltd
80:e4:55|new h3c technologies co., ltd
2c:4c:c6|murata manufacturing co., ltd.
7c:21:0d|cisco systems, inc
4c:bc:72|primex wireless
68:02:b8|compal broadband networks, inc.
34:63:d4|bionix supplychain technologies slu
08:f7:e9|hrcp research and development partnership
d4:9e:3b|guangzhou shiyuan electronic technology company limited
dc:dc:e2|samsung electronics co.,ltd
a0:ac:69|samsung electronics co.,ltd
10:89:fb|samsung electronics co.,ltd
dc:4b:dd|shenzhen superelectron technology co.,ltd.
c0:b5:cd|huawei device co., ltd.
4c:50:77|huawei device co., ltd.
50:2d:bb|gd midea air-conditioning equipment co.,ltd.
5c:3a:3d|zte corporation
30:fd:65|huawei technologies co.,ltd
7c:a1:ae|apple, inc.
3c:22:fb|apple, inc.
58:ea:fc|ell-iot inc
90:13:da|athom b.v.
14:11:5d|skyworth digital technology(shenzhen) co.,ltd
e4:f3:27|atol llc
68:19:ac|guangzhou xianyou intelligent technogoly co., ltd
e8:2e:0c|netint technologies inc.
18:92:a4|ciena corporation
10:08:2c|texas instruments
b0:73:5d|huawei device co., ltd.
5c:3a:45|chongqing fugui electronics co.,ltd.
a0:3c:31|shenzhen belon technology co.,ltd
a8:97:cd|arris group, inc.
40:4c:77|arris group, inc.
2c:e3:10|stratacache
00:22:a0|aptiv services us, llc
a4:30:7a|samsung electronics co.,ltd
fc:8e:5b|china mobile iot limited company
14:2a:14|shenzhen selenview digital technology co.,ltd
d8:7e:76|itel mobile limited
38:4b:5b|ztron technology limited
b8:61:42|beijing tricolor technology co., ltd
20:0a:0d|ieee registration authority
e4:7c:65|sunstar communication technology  co., ltd
9c:54:da|skybell technologies inc.
4c:49:4f|zte corporation
c4:74:1e|zte corporation
00:d0:78|eltex of sweden ab
5c:78:f8|huawei device co., ltd.
b8:27:c5|huawei device co., ltd.
dc:89:83|samsung electronics co.,ltd
5c:cb:99|samsung electronics co.,ltd
d4:60:75|baidu online network technology (beijing) co., ltd
78:c5:f8|huawei device co., ltd.
d4:5d:64|asustek computer inc.
90:b1:44|samsung electronics co.,ltd
48:dd:0c|eero inc.
94:0c:98|apple, inc.
e8:fb:e9|apple, inc.
38:ec:0d|apple, inc.
58:27:8c|buffalo.inc
14:0a:c5|amazon technologies inc.
20:83:f8|advanced digital broadcast sa
c8:c7:50|motorola mobility llc, a lenovo company
2c:dc:d7|azurewave technology inc.
34:e3:da|hoval aktiengesellschaft
e0:bb:9e|seiko epson corporation
48:d2:4f|sagemcom broadband sas
e4:aa:ec|tianjin hualai technology co., ltd
94:be:46|motorola (wuhan) mobility technologies communication co., ltd.
ac:f8:cc|arris group, inc.
8c:5a:25|arris group, inc.
48:3f:da|espressif inc.
6c:5d:3a|microsoft corporation
cc:d4:2e|arcadyan corporation
c8:53:e1|beijing bytedance network technology co., ltd
14:16:9d|cisco systems, inc
48:a2:e6|resideo
90:e2:fc|ieee registration authority
f0:08:d1|espressif inc.
58:94:b2|brainco
b0:95:75|tp-link technologies co.,ltd.
b4:b0:55|huawei technologies co.,ltd
04:8c:16|huawei technologies co.,ltd
98:dd:5b|takumi japan ltd
3c:5c:f1|eero inc.
14:ae:85|ieee registration authority
90:74:9d|iray technology co., ltd.
8c:3b:32|microfan b.v.
d0:d3:e0|aruba, a hewlett packard enterprise company
64:5c:f3|parantek inc.
b0:cc:fe|huawei device co., ltd.
54:0d:f9|huawei device co., ltd.
00:66:19|huawei device co., ltd.
fc:39:64|itel mobile limited
14:47:2d|guangdong oppo mobile telecommunications corp.,ltd
e4:90:fd|apple, inc.
84:ab:1a|apple, inc.
20:6d:31|firewalla inc
d0:65:44|apple, inc.
18:6f:2d|shenzhen sundray technologies company limited
f8:4f:ad|hui zhou gaoshengda technology co.,ltd
4c:0a:3d|adnacom inc.
3c:80:6b|hunan voc acoustics technology co., ltd.
60:de:35|gitsn, inc.
28:31:7e|hongkong nano ic technologies co., ltd
a8:41:22|china mobile (hangzhou) information technology co.,ltd.
6c:dd:bc|samsung electronics co.,ltd
cc:7f:76|cisco systems, inc
40:bc:68|wuhan funshion online technologies co.,ltd
dc:98:40|microsoft corporation
44:76:54|huawei technologies co.,ltd
7c:d9:a0|huawei technologies co.,ltd
f0:33:e5|huawei technologies co.,ltd
b4:f1:8c|huawei device co., ltd.
b8:ce:f6|mellanox technologies, inc.
b8:02:a4|aeonsemi, inc.
e4:83:26|huawei technologies co.,ltd
94:05:bb|ieee registration authority
8c:5f:ad|fiberhome telecommunication technologies co.,ltd
ac:c2:5d|fiberhome telecommunication technologies co.,ltd
8c:0c:87|nokia
c4:32:d1|farlink technology limited
cc:41:8e|msa innovation
cc:a7:c1|google, inc.
38:84:79|cisco meraki
7c:9e:bd|espressif inc.
1c:02:19|guangdong oppo mobile telecommunications corp.,ltd
c8:d7:78|bsh hausgeraete gmbh
9c:61:1d|panasonic corporation of north america
c0:95:da|nxp india private limited
b4:22:00|brother industries, ltd.
68:49:b2|carlo gavazzi ltd
48:7a:ff|essys
40:b6:e7|huawei device co., ltd.
d0:b4:5d|huawei device co., ltd.
88:36:cf|huawei device co., ltd.
a4:c5:4e|huawei device co., ltd.
d4:bb:e6|huawei device co., ltd.
00:9e:ee|positivo tecnologia s.a.
90:b8:32|extreme networks, inc.
40:2f:86|lg innotek
d4:22:cd|xsens technologies b.v.
c8:67:5e|extreme networks, inc.
9c:5d:12|extreme networks, inc.
f0:9c:e9|extreme networks, inc.
c4:13:e2|extreme networks, inc.
f4:eb:9f|ellu company 2019 sl
e8:98:c2|zetlab company
d4:1a:c8|nippon printer engineering
50:61:f6|universal electronics, inc.
00:0c:32|avionic design gmbh
00:0a:0d|amphenol
f4:54:20|tellescom industria e comercio em telecomunicacao 
4c:40:88|sanshin electronics co.,ltd.
64:dd:e9|xiaomi communications co ltd
0c:81:7d|eep elektro-elektronik pranjic gmbh
04:f5:f4|proxim wireless
c8:bc:e5|sense things japan inc.
e8:b4:70|ieee registration authority
00:1b:ed|brocade communications systems llc
00:0c:db|brocade communications systems llc
00:04:80|brocade communications systems llc
60:9c:9f|brocade communications systems llc
00:00:88|brocade communications systems llc
00:60:df|brocade communications systems llc
00:60:69|brocade communications systems llc
00:05:33|brocade communications systems llc
b0:45:02|huawei device co., ltd.
1c:1f:f1|huawei device co., ltd.
b4:ef:1c|360 ai technology co.ltd
14:de:39|huawei device co., ltd.
b8:f0:09|espressif inc.
fc:71:fa|trane technologies
cc:be:59|calix inc.
84:a3:b5|propulsion systems
30:fc:eb|lg electronics (mobile communications)
24:68:b0|samsung electronics co.,ltd
1c:13:38|kimball electronics group, llc
9c:ed:fa|evulution ag
ec:63:ed|hyundai autoever corp.
d4:67:61|xontel technology co.
e4:41:22|oneplus technology (shenzhen) co., ltd
9c:19:c2|dongguan liesheng electronic co., ltd.
bc:26:a1|factory five corporation
74:cb:f3|lava international limited
f0:d1:4f|linear llc
00:11:68|homelogic llc
18:df:c1|aetheros
fc:bc:0e|zhejiang cainiao supply chain management co., ltd
2c:d0:66|xiaomi communications co ltd
b0:5c:da|hp inc.
dc:bd:7a|guangzhou shiyuan electronic technology company limited
90:16:ba|huawei technologies co.,ltd
60:aa:ef|huawei device co., ltd.
d0:f3:f5|huawei device co., ltd.
d4:46:49|huawei technologies co.,ltd
94:00:b0|huawei technologies co.,ltd
24:79:ef|greenpacket berhad, taiwan
ac:23:34|infinix mobility limited
00:2b:67|lcfc(hefei) electronics technology co., ltd
f8:bc:0e|eero inc.
50:e0:39|zyxel communications corporation
b8:57:76|lignex1
24:00:fa|china mobile (hangzhou) information technology co., ltd
c8:3d:fc|alphatheta corporation
e0:19:95|nutanix
f8:51:28|simplisafe
ac:1f:09|shenzhen rakwireless technology  co.,ltd
bc:13:a8|shenzhen youhua technology co., ltd
90:77:ee|cisco systems, inc
3c:13:cc|cisco systems, inc
94:e3:ee|zte corporation
d8:dc:40|apple, inc.
80:5f:c5|apple, inc.
10:f9:20|cisco systems, inc
20:69:80|apple, inc.
64:32:a8|intel corporate
80:19:34|intel corporate
40:a3:cc|intel corporate
e4:a7:a0|intel corporate
